title,imageUrl,directors,year,synopsis
Forty Deuce,https://metrograph.com/wp-content/uploads/2025/08/MSDFODE_EC007.jpeg,['Paul Morrissey'],1982,"Introduction by filmmaker Michael M. Bilandic on Friday, September 12th"
Madame Wang's,https://metrograph.com/wp-content/uploads/2025/08/MADAME-WANGS_2.webp,['Paul Morrissey'],1981,"Introduction by writer Nick Pinkerton on Saturday, September 6th"
PRIVATE EVENT TODAY IN THEATER & COMMISSARY,https://metrograph.imgix.net/2022/05/privateevent.jpg?fm=pjpg&ixlib=php-3.3.1,['Paul Morrissey'],2025,Please check back soon for updated showtimes!
Saturday Afternoon Cartoons: School is Cool,https://metrograph.com/wp-content/uploads/2025/09/Bobby-Bumps-Starts-to-School-desk-scene.jpeg,['Multiple Dirs'],1950,"Saturday Afternoon Cartoons is New York City’s prime theatrical showcase of early and classic animated cartoons, shown in vintage 16mm film prints from the personal archives of historian Tommy José Stathes. Beginning more than 25 years ago as a casual…"
Atlantic Watch: Love + War,https://metrograph.com/wp-content/uploads/2025/08/LoveWar-CK-0L4A3521-R.jpeg,"['Chai Vasarhelyi', 'Jimmy Chin']",2025,"Post-screening conversation with Pulitzer Prize–winning photographer, Lynsey Addario, and director, Chai Vasarhelyi"
Black Is... Black Ain't,https://metrograph.com/wp-content/uploads/2025/08/BLACK-IS.-BLACK-AINT_3-copy.jpg,['Marlon Riggs'],1995,"Riggs was dead of complications of AIDS at age 37 before his final film had its much-praised theatrical rollout, his depiction of his own race against time to complete Black Is… Black Ain’t: one of the many threads making up the rich tapestry that is…"
Looking for Langston + Dressed Like Kings,https://metrograph.com/wp-content/uploads/2025/08/DRESSED-LIKE-KINGS_1-copy.jpg,"['Isaac Julien', 'Stacey Holman']",1989,"British artist Isaac Julien’s lyrical Looking for Langston fuses archival newsreel footage of 1920s Harlem with original scripted scenes shot in lush black-and-white, in order not only to recreate the atmosphere of the Harlem Renaissance as it exists in…"
Holy Spider,https://metrograph.com/wp-content/uploads/2025/08/HOLY-SPIDER_3.jpeg,['Ali Abbasi'],2022,"Zar Amir took home a Best Actress Award from the 2022 Cannes Film Festival for her steely performance in Abbasi’s nerve-rattling thriller, in which she plays a Tehran journalist, Arezoo Rahimi, investigating the story of an at-large serial murderer in…"
Tatami preceded by Khat,https://metrograph.com/wp-content/uploads/2025/08/TATAMI_2.jpeg,"['Zar Amir', 'Guy Nattiv']",2023,"Amir’s feature directorial debut, made in collaboration with Guy Nattiv—the first feature film co-directed by an Iranian and an Israeli filmmaker—is a potent mixture of political thriller and old-fashioned never-say-die sports drama (in black and…"
Crumb: 30th Anniversary [35mm],https://metrograph.com/wp-content/uploads/2025/09/crumb05h.jpeg,['Terry  Zwigoff'],1994,"Robert Crumb’s work as the breakout star of the underground cartooning scene was plenty well known before the appearance of this intimate, deeply melancholy documentary by his friend and sometimes bandmate Zwigoff, but Crumb revealed the deep well of…"
Mary Stephen Short Film Program,https://metrograph.com/wp-content/uploads/2025/09/memory-of-water.jpeg,['Mary Stephen'],1974,"Introduction by director/editor Mary Stephen on Friday, October 3rd"
The Wild Child,https://metrograph.com/wp-content/uploads/2025/09/THE-WILD-CHILD_1-copy.jpg,['François  Truffaut'],1970,"The real-life case of “Victor of Aveyron,” a child grown to the verge of adolescence without human contact, discovered in a forest in the south of France at the end of the 18th century, became the basis for this touching and turbulent meditation on…"
Two People Exchanging Saliva Shorts Program,https://metrograph.com/wp-content/uploads/2025/09/two-people-copy.jpg,['Multiple Dirs'],2024,"Zar Amir stars opposite Portrait of a Lady on Fire’s Luàna Bajrami in Singh and Musteata’s audacious mid-length tragicomedy, Two People Exchanging Saliva. Narrated by Vicky Krieps and shot in strikingly stark black and white, it sets its scene in a…"
Ticket of No Return,https://metrograph.imgix.net/2022/11/ticket-of-no-return.jpg?fm=pjpg&ixlib=php-3.3.1,['Ulrike Ottinger'],1979,"Introduction by Ulrike Ottinger on Saturday, October 4th"
Palimpsest: The Story of a Name,https://metrograph.com/wp-content/uploads/2025/09/PALIMPSEST_2.jpeg,['Mary Stephen'],2025,"Q&A with Mary Stephen on Sunday, October 5th"
Hackers,https://metrograph.com/wp-content/uploads/2025/09/HACKERS_1-copy.jpg,['Ian Sofley'],1992,"Legally forbidden from touching a computer for seven years after a legendary hack, prodigy cyberwarrior Dade Murphy, aka “Zero Cool,” aka “Crash Override” (Jonny Lee Miller) logs back on for his 18th birthday, falls in with a gang of fellow teen…"
ACE Presents: The Aviator's Wife on 35mm,https://metrograph.com/wp-content/uploads/2025/09/THE-AVIATORS-WIFE_2.jpeg,['Éric Rohmer'],1981,"Q&A with editor Mary Stephen moderated by filmmaker and scholar Su Friedrick on Sunday, October 5th"
Freak Orlando,https://metrograph.com/wp-content/uploads/2025/09/orlando2.jpeg,['Ulrike Ottinger'],2020,"An outrageous, carnivalesque camp reading of Virginia Woolf’s Orlando, Ottinger’s crazed comedy follows its gender nonconforming hero/heroine through five wide-ranging adventures that span the history of the world: the Freak City department store,…"
